Customer_ID,Gender,Age,Income,Relation_length,Contract_length,Start_channel,Email_list,Home_age,Home_label,Electricity_usage,Gas_usage,Province,Churn
1,0,37,2371,50,0,Online,1,17,F,2238,1425,Noord-Brabant,1
2,1,49,4534,22,0,Online,0,11,E,3306,1651,Noord-Holland,1
3,1,53,5279,67,7,Online,1,31,E,2664,1176,Gelderland,0
4,1,40,4404,40,0,Online,1,12,D,2870,1899,Zuid-Holland,1
5,1,70,2144,74,31,Online,1,28,F,2983,1120,Noord-Brabant,1
6,1,36,4470,48,9,Phone,0,86,G,2508,993,Zuid-Holland,1
7,0,35,7937,31,35,Online,1,47,D,1618,1734,Gelderland,0
8,0,45,4696,72,33,Online,1,21,G,2595,994,Zuid-Holland,1
9,1,45,8907,43,0,Online,1,0,B,1524,1040,Friesland,0
10,1,45,3188,51,0,Online,1,47,G,2519,1798,Noord-Brabant,1
11,1,42,3700,50,17,Online,1,10,F,1389,2631,Noord-Brabant,1
12,1,62,5935,98,0,Online,1,191,E,2457,782,Limburg,0
13,0,57,2480,113,20,Online,1,27,D,1678,998,Overijssel,0
14,1,46,8474,93,11,Phone,0,45,E,1976,1714,Gelderland,0
15,0,34,3326,79,0,Online,1,13,E,2369,1341,Overijssel,1
16,1,40,5881,27,0,Phone,0,56,F,2034,2180,Noord-Holland,1
17,0,60,5371,48,0,Online,1,9,B,1660,1132,Noord-Holland,0
18,0,43,3515,58,11,Online,1,42,C,2468,1154,Friesland,1
19,0,50,5819,70,9,Online,1,21,F,2240,485,Utrecht,0
20,0,47,6108,107,0,Online,1,7,B,2170,883,Noord-Holland,0
21,0,42,8559,10,29,Phone,0,38,D,2849,1531,Noord-Brabant,1
22,0,66,8003,64,6,Online,1,187,F,2303,1897,Groningen,1
23,0,63,4004,171,0,Online,1,40,E,2265,1328,Noord-Holland,0
24,0,47,7031,126,30,Online,1,48,C,1501,1511,Gelderland,0
25,0,55,3158,48,0,Online,1,18,E,2709,1539,Noord-Holland,1
26,1,32,7598,65,24,Online,1,168,G,3118,2111,Friesland,1
27,1,46,5522,75,0,Online,1,81,F,1911,1347,Noord-Holland,1
28,1,44,3776,15,0,Online,1,47,C,2151,1580,Gelderland,1
29,1,36,8448,84,0,Online,1,20,E,2172,1509,Noord-Holland,1
30,0,47,2444,0,11,Online,1,34,G,2546,1210,Limburg,1
31,0,86,3477,187,0,Phone,0,33,G,2399,1197,Limburg,1
32,0,41,2030,87,2,Online,1,131,E,2663,1605,Zuid-Holland,0
33,0,46,6913,37,30,Online,0,67,F,2446,1977,Limburg,0
34,1,54,3861,109,0,Online,1,28,F,1634,816,Zuid-Holland,1
35,0,39,5169,45,32,Phone,0,2,B,1587,637,Utrecht,0
36,1,29,2970,1,3,Online,1,93,D,1085,980,Noord-Brabant,1
37,0,52,4627,62,28,Online,1,79,D,2087,1567,Limburg,0
38,0,35,6729,73,0,Phone,0,26,B,1985,1020,Gelderland,0
39,1,86,4545,204,3,Phone,1,18,G,2967,2343,Zuid-Holland,1
40,1,50,4588,110,20,Online,1,8,C,2334,725,Gelderland,0
41,1,31,3149,42,0,Online,1,0,A,1736,503,Overijssel,1
42,1,55,4303,92,0,Online,1,25,E,2534,1523,Overijssel,1
43,0,25,2929,22,13,Online,1,5,A,2382,426,Utrecht,1
44,1,38,2135,67,0,Online,0,17,E,2198,883,Zuid-Holland,1
45,0,31,3822,59,10,Phone,1,42,C,1678,1108,Noord-Brabant,0
46,1,42,3048,34,18,Phone,0,1,C,2491,1846,Zuid-Holland,1
47,1,47,7440,56,9,Online,0,43,G,3331,1199,Drenthe,1
48,0,35,3928,28,0,Online,1,25,G,3058,2027,Flevoland,1
49,0,55,6234,9,7,Online,1,11,F,2438,2272,Noord-Holland,1
50,1,60,4863,68,6,Online,1,103,F,2437,2336,Noord-Brabant,0
51,0,56,9848,89,35,Online,1,84,C,1770,806,Overijssel,0
52,0,80,7164,33,0,Phone,0,47,G,3742,1021,Noord-Brabant,1
53,1,43,2726,7,16,Phone,1,47,F,2273,1272,Gelderland,1
54,1,36,4402,51,11,Online,1,174,G,3497,1372,Limburg,1
55,0,47,3586,24,6,Phone,0,59,C,2128,1474,Utrecht,0
56,1,44,3240,93,17,Phone,0,44,C,1513,1709,Gelderland,0
57,0,70,4277,8,32,Phone,0,49,G,2362,1003,Zuid-Holland,0
58,1,52,2324,47,4,Online,1,3,A,1252,773,Zuid-Holland,0
59,0,57,3527,15,30,Online,1,35,C,2386,1142,Gelderland,1
60,1,51,14603,61,3,Phone,0,31,D,2147,1287,Noord-Holland,0
61,1,47,3098,114,9,Phone,0,45,C,2541,1297,Zuid-Holland,0
62,0,39,13801,26,26,Online,1,22,E,3261,1414,Friesland,1
